Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,param,value
41,5.0,168.0,26.0,0.05,354.9121210633238,231.76960344965644,1.445845353605685,72.29226768028425,0.549,0.0,prosperity,0.01
42,5.0,168.0,26.0,0.05,354.9121210633238,240.75535774474488,1.4836678690727867,74.18339345363933,0.5489999999999999,0.0,prosperity,0.01
43,5.0,168.0,26.0,0.05,354.9121210633238,247.95376590895762,1.4979687258516936,74.89843629258469,0.5489999999999999,0.0,prosperity,0.01
44,5.0,168.0,26.0,0.05,354.9121210633238,255.74330475133712,1.518607408690688,75.93037043453442,0.5489999999999999,0.0,prosperity,0.01
45,5.0,168.0,26.0,0.05,354.9121210633238,265.02560421967144,1.556864491670608,77.8432245835304,0.5489999999999999,0.0,prosperity,0.01
46,5.0,168.0,26.0,0.05,354.9121210633238,275.4197106025864,1.606628741793248,80.33143708966239,0.5489999999999999,0.0,prosperity,0.01
47,5.0,168.0,26.0,0.05,354.9121210633238,284.20099837472054,1.6340120051992224,81.7006002599611,0.5489999999999999,0.0,prosperity,0.01
48,5.0,168.0,26.0,0.05,354.9121210633238,292.5989531605326,1.655133831619703,82.75669158098518,0.549,0.0,prosperity,0.01
49,5.0,168.0,26.0,0.05,354.9121210633238,300.4627371262516,1.668861694240101,83.44308471200507,0.5489999999999999,0.0,prosperity,0.01
50,5.0,168.0,26.0,0.05,354.9121210633238,313.7406442799219,1.7485104999589607,87.42552499794805,0.5489999999999999,0.0,prosperity,0.01
51,5.0,168.0,26.0,0.05,354.9121210633238,322.924354535751,1.774103429350847,88.70517146754237,0.5489999999999999,0.0,prosperity,0.01
52,5.0,168.0,26.0,0.05,354.9121210633238,330.13655858066693,1.7743959833556502,88.71979916778251,0.549,0.0,prosperity,0.01
53,5.0,168.0,26.0,0.05,354.9121210633238,338.25205682790335,1.7851822969776945,89.25911484888474,0.5489999999999999,0.0,prosperity,0.01
54,5.0,168.0,26.0,0.05,354.9121210633238,347.4837903961805,1.8096028925780998,90.48014462890498,0.549,0.0,prosperity,0.01
55,5.0,168.0,26.0,0.05,354.9121210633238,358.31494569946665,1.8530202856744662,92.65101428372331,0.549,0.0,prosperity,0.01
56,5.0,168.0,26.0,0.05,354.9121210633238,367.67491022187437,1.8759287155794728,93.7964357789736,0.5489999999999999,0.0,prosperity,0.01
57,5.0,168.0,26.0,0.05,354.9121210633238,379.88013605276495,1.9331747166076576,96.65873583038288,0.549,0.0,prosperity,0.01
58,5.0,168.0,26.0,0.05,354.9121210633238,391.73824850708456,1.9829607292772757,99.14803646386379,0.5489999999999999,0.0,prosperity,0.01
59,5.0,168.0,26.0,0.05,354.9121210633238,406.4934489568618,2.0659427761266262,103.2971388063313,0.549,-50.0,prosperity,0.01
60,4.0,168.0,26.0,0.04,354.9121210633238,422.1572446268573,2.1553261939385884,107.76630969692941,0.549,0.0,prosperity,0.01
61,4.0,168.0,26.0,0.04,354.9121210633238,439.6814414987266,2.2856618418335146,114.28309209167574,0.5489999999999999,0.0,prosperity,0.01
62,4.0,168.0,26.0,0.04,354.9121210633238,454.8102164072787,2.3829090579248917,119.14545289624456,0.549,0.0,prosperity,0.01
63,4.0,168.0,26.0,0.04,354.9121210633238,471.0803421594164,2.489361779556638,124.46808897783194,0.549,0.0,prosperity,0.01
64,4.0,168.0,26.0,0.04,354.9121210633238,484.2673644885812,2.5534797934306526,127.67398967153262,0.549,0.0,prosperity,0.01
65,4.0,168.0,26.0,0.04,354.9121210633238,505.1540982095336,2.710098392886491,135.50491964432453,0.5489999999999999,0.0,prosperity,0.01
