Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,param,value
71,4.0,188.0,31.0,0.04,398.934834848258,551.929309767317,1.9895030819749062,99.4751540987453,0.5760000000000001,0.0,election frequency,10
72,4.0,188.0,31.0,0.04,398.934834848258,566.763390632571,2.0936689598379545,104.68344799189775,0.5760000000000001,0.0,election frequency,10
73,4.0,188.0,31.0,0.04,398.934834848258,580.3665579306515,2.1786427211523267,108.93213605761636,0.5760000000000001,0.0,election frequency,10
74,4.0,188.0,31.0,0.04,398.934834848258,595.6570058520423,2.28059345665093,114.02967283254654,0.5760000000000001,0.0,election frequency,10
75,4.0,188.0,31.0,0.04,398.934834848258,610.8064453819759,2.3773752616943953,118.86876308471977,0.5760000000000001,0.0,election frequency,10
76,4.0,188.0,31.0,0.04,398.934834848258,627.8283318301061,2.4944494866402986,124.72247433201497,0.576,0.0,election frequency,10
77,4.0,188.0,31.0,0.04,398.934834848258,645.6136478113315,2.6158799196089237,130.79399598044623,0.5760000000000001,0.0,election frequency,10
78,4.0,188.0,31.0,0.04,398.934834848258,665.0753078350021,2.7517648996885122,137.5882449844256,0.5760000000000001,0.0,election frequency,10
79,4.0,188.0,31.0,0.04,398.934834848258,680.3920040361022,2.8310821914900957,141.5541095745048,0.5760000000000001,-50.0,election frequency,10
80,3.0,188.0,31.0,0.03,398.934834848258,703.009053467807,2.99833958539044,149.91697926952202,0.5760000000000001,0.0,election frequency,10
81,3.0,188.0,31.0,0.03,398.934834848258,722.282901990558,3.1495257206033744,157.47628603016875,0.576,0.0,election frequency,10
82,3.0,188.0,31.0,0.03,398.934834848258,748.7009364024544,3.385491148552155,169.27455742760776,0.5760000000000001,0.0,election frequency,10
83,3.0,188.0,31.0,0.03,398.934834848258,774.5580543534278,3.6074952424550077,180.37476212275044,0.5760000000000001,0.0,election frequency,10
84,3.0,188.0,31.0,0.03,398.934834848258,799.7391531917144,3.813569956391884,190.6784978195942,0.5760000000000001,0.0,election frequency,10
85,3.0,188.0,31.0,0.03,398.934834848258,831.5364481457817,4.097439410479055,204.8719705239527,0.5760000000000001,0.0,election frequency,10
86,3.0,188.0,31.0,0.03,398.934834848258,857.37875618138,4.29853290784257,214.92664539212848,0.5760000000000001,0.0,election frequency,10
87,3.0,188.0,31.0,0.03,398.934834848258,885.8253952517489,4.5247669031480084,226.2383451574004,0.5760000000000001,0.0,election frequency,10
88,3.0,188.0,31.0,0.03,398.934834848258,912.4177141760455,4.721556087678366,236.0778043839183,0.5760000000000001,0.0,election frequency,10
89,3.0,188.0,31.0,0.03,398.934834848258,945.4087239503283,4.992583436224929,249.6291718112464,0.5760000000000001,-50.0,election frequency,10
90,1.9999999999999996,188.0,31.0,0.019999999999999997,398.934834848258,977.9525870192842,5.249166996833902,262.45834984169517,0.5760000000000001,0.0,election frequency,10
91,1.9999999999999996,190.0,31.0,0.019999999999999997,409.46121799752996,1011.7946934092676,5.571045735542594,278.5522867771297,0.572,0.0,election frequency,10
92,1.9999999999999996,190.0,31.0,0.019999999999999997,409.46121799752996,1047.480812879802,5.909816655702777,295.4908327851388,0.5720000000000001,0.0,election frequency,10
93,1.9999999999999996,190.0,31.0,0.019999999999999997,409.46121799752996,1082.261331296521,6.230587705627492,311.5293852813747,0.5720000000000001,0.0,election frequency,10
94,1.9999999999999996,190.0,31.0,0.019999999999999997,409.46121799752996,1129.0106397561647,6.694931338346793,334.74656691733975,0.5720000000000001,0.0,election frequency,10
95,1.9999999999999996,192.0,31.0,0.019999999999999997,421.3667725290999,1183.9478221673785,7.253737308504407,362.68686542522045,0.5680000000000001,0.0,election frequency,10
96,1.9999999999999996,194.0,31.0,0.019999999999999997,431.23510591805734,1233.4625428688018,7.733042780141057,386.6521390070529,0.56,0.0,election frequency,10
97,1.9999999999999996,196.0,31.0,0.019999999999999997,446.6737655674892,1282.7346200078416,8.19861611657241,409.9308058286205,0.552,0.0,election frequency,10
98,1.9999999999999996,200.0,31.0,0.019999999999999997,467.8172707735231,1335.403607795877,8.695357210948051,434.7678605474025,0.544,0.0,election frequency,10
99,1.9999999999999996,202.0,31.0,0.019999999999999997,478.3232660938153,1416.2955435377175,9.53741218275364,476.8706091376819,0.528,-42.0,election frequency,10
100,0.9999999999999997,202.0,31.0,0.009999999999999997,478.3232660938153,1470.4082960192982,10.027762292222874,501.38811461114375,0.52,0.0,election frequency,10
101,0.9999999999999997,208.0,31.0,0.009999999999999997,521.5833651594877,1529.526943174171,10.67469727868535,533.7348639342675,0.504,0.0,election frequency,10
102,0.9999999999999997,210.0,31.0,0.009999999999999997,536.000628000059,1599.6552805466026,11.456789289433791,572.8394644716898,0.48399999999999993,0.0,election frequency,10
103,0.9999999999999997,210.0,31.0,0.009999999999999997,536.000628000059,1675.1384271098452,12.300949030872031,615.0474515436016,0.48400000000000004,0.0,election frequency,10
104,0.9999999999999997,220.0,31.0,0.009999999999999997,605.8235535123775,1747.337154950604,13.091308790097235,654.5654395048618,0.452,0.0,election frequency,10
105,0.9999999999999997,224.0,31.0,0.009999999999999997,640.1592270395055,1818.0026700729547,13.856961208764064,692.8480604382031,0.424,0.0,election frequency,10
106,0.9999999999999997,230.0,32.0,0.009999999999999997,696.164597106895,1871.4075791222288,13.868892150309819,693.4446075154909,0.412,0.0,election frequency,10
107,0.9999999999999997,234.0,33.0,0.009999999999999997,739.9680330676205,1917.4135670083942,13.852047369216395,692.6023684608198,0.4159999999999999,0.0,election frequency,10
108,0.9999999999999997,248.0,33.0,0.009999999999999997,835.4195825912653,1969.5337811135641,14.367623324627726,718.3811662313863,0.3559999999999999,0.0,election frequency,10
109,0.9999999999999997,256.0,33.0,0.009999999999999997,917.2898257715818,2028.9127532844223,14.970295337681659,748.5147668840833,0.28,-4.0,election frequency,10
110,-3.469446951953614e-16,272.0,33.0,-3.469446951953614e-18,1034.1478611047887,2073.1305088576783,15.38020417714868,769.0102088574341,0.23999999999999996,0.0,election frequency,10
111,-3.469446951953614e-16,300.0,33.0,-3.469446951953614e-18,1323.8060607172229,2098.2062122733278,15.700985406490842,785.0492703245424,0.2,0.0,election frequency,10
112,-3.469446951953614e-16,312.0,33.0,-3.469446951953614e-18,1437.4014376723903,2122.412234612257,16.010641230483383,800.5320615241693,0.16400000000000003,0.0,election frequency,10
113,-3.469446951953614e-16,340.0,33.0,-3.469446951953614e-18,1690.8301532621704,2141.5840909452363,16.255897426942717,812.794871347136,0.128,0.0,election frequency,10
114,-3.469446951953614e-16,370.0,33.0,-3.469446951953614e-18,1898.8479031173933,2152.9248165847553,16.40097379237806,820.048689618903,0.08800000000000001,0.0,election frequency,10
115,-3.469446951953614e-16,406.0,33.0,-3.469446951953614e-18,2176.915097250889,2158.3314332708196,16.47013799959449,823.5068999797246,0.04,0.0,election frequency,10
116,-3.469446951953614e-16,444.0,33.0,-3.469446951953614e-18,2572.646476331411,2158.3314332708196,16.470137999594485,823.5068999797243,0.032,0.0,election frequency,10
117,-3.469446951953614e-16,468.0,33.0,-3.469446951953614e-18,2798.009418600886,2164.2699403278853,16.546106420605312,827.3053210302658,0.02,0.0,election frequency,10
118,-3.469446951953614e-16,504.0,33.0,-3.469446951953614e-18,3055.8327404063925,2164.2699403278853,16.546106420605312,827.3053210302656,0.02,0.0,election frequency,10
119,-3.469446951953614e-16,538.0,33.0,-3.469446951953614e-18,3263.5699111822555,2175.9265147307897,16.69522328504184,834.7611642520922,0.02,50.0,election frequency,10
120,0.9999999999999997,580.0,33.0,0.009999999999999997,3638.9383018018275,2175.9265147307897,16.69522328504184,834.761164252092,0.012000000000000002,0.0,election frequency,10
121,0.9999999999999997,612.0,35.0,0.009999999999999997,3861.274173617179,2187.1580441315887,16.065256220535197,803.26281102676,0.044000000000000004,0.0,election frequency,10
122,0.9999999999999997,640.0,35.0,0.009999999999999997,4083.953394067134,2201.7468672141695,16.07564918873546,803.7824594367735,0.044000000000000004,0.0,election frequency,10
123,0.9999999999999997,674.0,35.0,0.009999999999999997,4345.710296099585,2202.624309312753,15.914988617389357,795.7494308694677,0.044000000000000004,0.0,election frequency,10
124,0.9999999999999997,704.0,38.0,0.009999999999999997,4631.528830437348,2206.1740691520004,14.819990857190671,740.9995428595336,0.10799999999999998,0.0,election frequency,10
125,0.9999999999999997,746.0,38.0,0.009999999999999997,4932.421176804977,2207.2297200264024,14.668064414748034,733.4032207374016,0.092,0.0,election frequency,10
126,0.9999999999999997,780.0,38.0,0.009999999999999997,5320.910640650867,2207.2297200264024,14.508445122902842,725.4222561451422,0.07200000000000001,0.0,election frequency,10
127,0.9999999999999997,806.0,38.0,0.009999999999999997,5440.303501406997,2215.6712731540815,14.466431460841605,723.3215730420801,0.07200000000000001,0.0,election frequency,10
128,0.9999999999999997,830.0,38.0,0.009999999999999997,5622.468088778214,2230.728725931455,14.501858065431044,725.0929032715524,0.068,0.0,election frequency,10
129,0.9999999999999997,860.0,39.0,0.009999999999999997,5900.299530027505,2236.7598398339665,13.921704303195057,696.0852151597529,0.07200000000000001,50.0,election frequency,10
130,1.9999999999999996,888.0,39.0,0.019999999999999997,6076.4513866275865,2256.115114429848,14.02645890003601,701.3229450018003,0.06,0.0,election frequency,10
131,1.9999999999999996,914.0,40.0,0.019999999999999997,6275.722769258144,2276.7997014428634,13.411475847262587,670.5737923631291,0.084,0.0,election frequency,10
132,1.9999999999999996,940.0,41.0,0.019999999999999997,6538.213606364658,2284.266485310448,12.950567424038304,647.5283712019152,0.1,0.0,election frequency,10
133,1.9999999999999996,964.0,42.0,0.019999999999999997,6753.002040199395,2287.744519417283,12.337818157509219,616.890907875461,0.12000000000000002,0.0,election frequency,10
134,1.9999999999999996,984.0,44.0,0.019999999999999997,6891.193250619874,2295.03617337506,11.274707435100304,563.7353717550153,0.15200000000000002,0.0,election frequency,10
135,1.9999999999999996,1012.0,44.0,0.019999999999999997,7056.990922776609,2296.5097969456674,11.046226584277152,552.3113292138577,0.15200000000000002,0.0,election frequency,10
136,1.9999999999999996,1026.0,44.0,0.019999999999999997,7168.936040442171,2303.9022514333037,10.908246891597669,545.4123445798833,0.14800000000000002,0.0,election frequency,10
137,1.9999999999999996,1042.0,44.0,0.019999999999999997,7301.149944312183,2312.3493079951663,10.790501111084815,539.5250555542408,0.136,0.0,election frequency,10
138,1.9999999999999996,1058.0,45.0,0.019999999999999997,7390.530277932494,2330.874806618259,10.749212482298981,537.4606241149489,0.14400000000000002,0.0,election frequency,10
139,1.9999999999999996,1074.0,45.0,0.019999999999999997,7521.879616737029,2338.233338880381,10.610699563184598,530.53497815923,0.136,50.0,election frequency,10
140,3.0,1098.0,45.0,0.03,7634.81870130823,2343.6051803689847,10.455095717134398,522.7547858567199,0.11600000000000002,0.0,election frequency,10
141,3.0,1118.0,45.0,0.03,7828.113975523873,2353.119887085096,10.243608903593612,512.1804451796808,0.096,0.0,election frequency,10
142,3.0,1138.0,47.0,0.03,7970.671957411971,2363.8892613756284,9.131477616014465,456.5738808007232,0.12,0.0,election frequency,10
143,3.0,1152.0,49.0,0.03,8033.759463684462,2373.13488431304,8.398705097167543,419.9352548583772,0.156,0.0,election frequency,10
144,3.0,1170.0,50.0,0.03,8156.664807659839,2384.5804236008958,8.217597070756229,410.87985353781147,0.16399999999999998,0.0,election frequency,10
145,3.0,1180.0,53.0,0.03,8222.193855169777,2401.059708218693,7.613361870317428,380.6680935158714,0.21600000000000003,0.0,election frequency,10
146,3.0,1190.0,56.0,0.03,8285.94936118082,2421.487133490679,6.7634241949444265,338.17120974722144,0.264,0.0,election frequency,10
147,3.0,1198.0,59.0,0.03,8312.563398582706,2439.6234960635234,6.464234147499916,323.2117073749958,0.31999999999999995,0.0,election frequency,10
148,3.0,1202.0,59.0,0.03,8326.96056614159,2451.258995907895,6.411335965580767,320.5667982790383,0.32,0.0,election frequency,10
149,3.0,1208.0,59.0,0.03,8386.228528506757,2460.0610900026363,6.310766681861188,315.53833409305935,0.316,48.0,election frequency,10
150,4.0,1214.0,59.0,0.04,8430.268630691908,2470.6108910512667,6.25153488903899,312.5767444519496,0.304,0.0,election frequency,10
151,4.0,1226.0,59.0,0.04,8517.771981269389,2486.711523906269,6.182987606968293,309.1493803484146,0.28,0.0,election frequency,10
152,4.0,1234.0,60.0,0.04,8564.166814190792,2493.061563712706,5.715054688971228,285.7527344485613,0.28400000000000003,0.0,election frequency,10
153,4.0,1242.0,62.0,0.04,8603.902401239624,2512.6492030633335,5.18895964962,259.44798248099994,0.308,0.0,election frequency,10
154,4.0,1248.0,63.0,0.04,8627.898782656832,2522.3992058394797,4.9112448163271525,245.5622408163577,0.316,0.0,election frequency,10
155,4.0,1258.0,64.0,0.04,8705.038417036276,2526.4324150301436,4.498899784625597,224.9449892312798,0.324,0.0,election frequency,10
156,4.0,1262.0,65.0,0.04,8725.096954741499,2538.5696909658423,4.3310568888941825,216.55284444470905,0.348,0.0,election frequency,10
157,4.0,1266.0,66.0,0.04,8734.395724676897,2547.039714395274,3.981728225783999,199.08641128919996,0.38,0.0,election frequency,10
158,4.0,1268.0,66.0,0.04,8745.86273860001,2555.9180450525237,3.9277029169531654,196.38514584765824,0.37599999999999995,0.0,election frequency,10
159,4.0,1280.0,67.0,0.04,8785.414142364569,2562.215643221482,3.6289280601511904,181.44640300755955,0.376,48.0,election frequency,10
160,5.0,1284.0,68.0,0.05,8794.608297614011,2573.626632174219,3.5485726473923735,177.42863236961864,0.384,0.0,election frequency,10
161,5.0,1294.0,68.0,0.05,8821.923385319476,2581.1596729858707,3.4510227858213,172.55113929106503,0.36800000000000005,0.0,election frequency,10
162,5.0,1302.0,70.0,0.05,8844.79502655524,2591.711799545014,2.8466758463439708,142.33379231719854,0.38,0.0,election frequency,10
163,5.0,1308.0,70.0,0.05,8852.214655565049,2602.7125488867923,2.838395050263922,141.91975251319613,0.376,0.0,election frequency,10
164,5.0,1320.0,71.0,0.05,8875.605714713152,2611.8412249802464,2.7150580920278826,135.7529046013941,0.392,0.0,election frequency,10
165,5.0,1326.0,71.0,0.05,8897.967043138508,2625.384120886365,2.7446266475169834,137.23133237584915,0.36400000000000005,0.0,election frequency,10
166,5.0,1332.0,71.0,0.05,8922.026340735445,2638.191537857512,2.758364629136362,137.9182314568181,0.352,0.0,election frequency,10
167,5.0,1344.0,73.0,0.05,8949.57024961836,2644.9085592401484,2.5460937779847925,127.30468889923968,0.3440000000000001,0.0,election frequency,10
168,5.0,1360.0,73.0,0.05,8983.504827062965,2655.9202889974595,2.5417095152237508,127.08547576118754,0.316,0.0,election frequency,10
169,5.0,1372.0,76.0,0.05,9006.111013552918,2663.7695312293577,2.2587154875661857,112.93577437830926,0.39599999999999996,40.0,election frequency,10
170,6.0,1386.0,80.0,0.060000000000000005,9029.657323306963,2669.2170357307295,1.9726840745221443,98.63420372610724,0.48399999999999993,0.0,election frequency,10
171,6.0,1390.0,81.0,0.060000000000000005,9040.966253404249,2675.5997075705955,1.8164979819603035,90.82489909801517,0.508,0.0,election frequency,10
172,6.0,1392.0,81.0,0.060000000000000005,9045.709444807742,2684.276749522507,1.81433084735374,90.716542367687,0.504,0.0,election frequency,10
173,6.0,1400.0,81.0,0.060000000000000005,9053.776129568081,2690.3896360219915,1.779119690621297,88.95598453106483,0.49200000000000005,0.0,election frequency,10
174,6.0,1400.0,82.0,0.060000000000000005,9053.776129568081,2696.1183826351466,1.6823084151906726,84.11542075953362,0.504,0.0,election frequency,10
175,6.0,1402.0,82.0,0.060000000000000005,9060.79634325077,2700.4069100196793,1.633988656199459,81.69943280997293,0.5,0.0,election frequency,10
176,6.0,1404.0,82.0,0.060000000000000005,9064.705973325314,2704.8656198760395,1.5883173979626586,79.41586989813294,0.49599999999999994,0.0,election frequency,10
177,6.0,1404.0,82.0,0.060000000000000005,9064.705973325314,2707.7226135305773,1.527873497926068,76.39367489630341,0.49200000000000005,0.0,election frequency,10
178,6.0,1408.0,82.0,0.060000000000000005,9067.43579036115,2713.900768498778,1.5109260281826251,75.54630140913126,0.4759999999999999,0.0,election frequency,10
179,6.0,1410.0,82.0,0.060000000000000005,9068.420720019525,2719.2011962421743,1.4846894323609658,74.2344716180483,0.468,34.0,election frequency,10
180,7.000000000000001,1412.0,82.0,0.07,9068.906054642312,2726.7241559481067,1.487275401964322,74.36377009821612,0.46,0.0,election frequency,10
181,7.000000000000001,1418.0,83.0,0.07,9075.175982745224,2733.412586723188,1.416173571189077,70.80867855945384,0.4640000000000001,0.0,election frequency,10
182,7.000000000000001,1424.0,85.0,0.07,9079.349452024579,2734.4731443045926,1.2796523604108314,63.98261802054158,0.4799999999999999,0.0,election frequency,10
183,7.000000000000001,1428.0,86.0,0.07,9080.055984556328,2741.561525338895,1.2464999263728762,62.324996318643784,0.452,0.0,election frequency,10
184,7.000000000000001,1432.0,86.0,0.07,9081.468395808222,2745.875585592832,1.2110295514980234,60.551477574901185,0.444,0.0,election frequency,10
185,7.000000000000001,1434.0,87.0,0.07,9081.843104078629,2751.666486344343,1.201481787601998,60.07408938009992,0.46,0.0,election frequency,10
186,7.000000000000001,1434.0,87.0,0.07,9081.843104078629,2755.9419248848517,1.1692806394098845,58.464031970494226,0.45599999999999996,0.0,election frequency,10
187,7.000000000000001,1440.0,88.0,0.07,9085.28607989957,2761.610801818949,1.084745598928171,54.237279946408556,0.44,0.0,election frequency,10
